,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
52,B1212:PZ:V,2019-06-10,1000 Inputs,1006 Gamepads and Controllers,1357.74,40.0,20.55
53,B1212:PZ:V,2019-06-11,1000 Inputs,1006 Gamepads and Controllers,1018.0,30.0,11.58
54,B1212:PZ:V,2019-06-12,1000 Inputs,1006 Gamepads and Controllers,1034.08,31.0,9.11
55,B1212:PZ:V,2019-06-13,1000 Inputs,1006 Gamepads and Controllers,1996.78,60.0,14.65
56,B1212:PZ:V,2019-06-14,1000 Inputs,1006 Gamepads and Controllers,1429.14,43.0,12.05
57,B1212:PZ:V,2019-06-15,1000 Inputs,1006 Gamepads and Controllers,1095.18,33.0,15.05
58,B1212:PZ:V,2019-06-16,1000 Inputs,1006 Gamepads and Controllers,1428.99,43.0,17.33
59,B1212:PZ:V,2019-06-17,1000 Inputs,1006 Gamepads and Controllers,1696.24,51.0,15.61
60,B1212:PZ:V,2019-06-18,1000 Inputs,1006 Gamepads and Controllers,1530.1,46.0,12.71
61,B1212:PZ:V,2019-06-19,1000 Inputs,1006 Gamepads and Controllers,1365.39,41.0,15.64
62,B1212:PZ:V,2019-06-20,1000 Inputs,1006 Gamepads and Controllers,1230.62,37.0,10.58
63,B1212:PZ:V,2019-06-21,1000 Inputs,1006 Gamepads and Controllers,1064.32,32.0,12.42
64,B1212:PZ:V,2019-06-22,1000 Inputs,1006 Gamepads and Controllers,1097.58,33.0,20.3
65,B1212:PZ:V,2019-06-23,1000 Inputs,1006 Gamepads and Controllers,1031.06,31.0,14.08
66,B1212:PZ:V,2019-06-24,1000 Inputs,1006 Gamepads and Controllers,900.29,27.0,10.0
67,B1212:PZ:V,2019-06-25,1000 Inputs,1006 Gamepads and Controllers,1097.51,33.0,15.4
68,B1212:PZ:V,2019-06-26,1000 Inputs,1006 Gamepads and Controllers,1134.03,34.0,13.98
69,B1212:PZ:V,2019-06-27,1000 Inputs,1006 Gamepads and Controllers,1395.66,42.0,15.05
70,B1212:PZ:V,2019-06-28,1000 Inputs,1006 Gamepads and Controllers,1394.0,42.0,14.16
71,B1212:PZ:V,2019-06-29,1000 Inputs,1006 Gamepads and Controllers,1294.41,39.0,12.83
72,B1212:PZ:V,2019-06-30,1000 Inputs,1006 Gamepads and Controllers,1270.46,38.0,10.17
73,B1212:PZ:V,2019-07-01,1000 Inputs,1006 Gamepads and Controllers,1197.0,36.0,13.43
74,B1212:PZ:V,2019-07-02,1000 Inputs,1006 Gamepads and Controllers,1197.8,36.0,12.57
75,B1212:PZ:V,2019-07-03,1000 Inputs,1006 Gamepads and Controllers,1131.08,34.0,14.82
76,B1212:PZ:V,2019-07-04,1000 Inputs,1006 Gamepads and Controllers,1233.95,37.0,15.25
77,B1212:PZ:V,2019-07-05,1000 Inputs,1006 Gamepads and Controllers,1393.07,41.0,17.43
78,B1212:PZ:V,2019-07-06,1000 Inputs,1006 Gamepads and Controllers,1324.83,39.0,15.75
79,B1212:PZ:V,2019-07-07,1000 Inputs,1006 Gamepads and Controllers,1426.94,42.0,14.48
80,B1212:PZ:V,2019-07-08,1000 Inputs,1006 Gamepads and Controllers,1391.95,41.0,23.01
81,B1212:PZ:V,2019-07-09,1000 Inputs,1006 Gamepads and Controllers,1445.52,44.0,13.95
82,B1212:PZ:V,2019-07-10,1000 Inputs,1006 Gamepads and Controllers,991.69,31.0,19.69
83,B1212:PZ:V,2019-07-11,1000 Inputs,1006 Gamepads and Controllers,1471.54,46.0,17.34
84,B1212:PZ:V,2019-07-12,1000 Inputs,1006 Gamepads and Controllers,1503.53,47.0,26.29
85,B1212:PZ:V,2019-07-13,1000 Inputs,1006 Gamepads and Controllers,1343.58,42.0,12.31
86,B1212:PZ:V,2019-07-14,1000 Inputs,1006 Gamepads and Controllers,1087.66,34.0,16.49
87,B1212:PZ:V,2019-07-15,1000 Inputs,1006 Gamepads and Controllers,1789.8,60.0,3.23
88,B1212:PZ:V,2019-07-16,1000 Inputs,1006 Gamepads and Controllers,2219.25,75.0,13.38
89,B1212:PZ:V,2019-07-17,1000 Inputs,1006 Gamepads and Controllers,1272.37,43.0,13.61
90,B1212:PZ:V,2019-07-18,1000 Inputs,1006 Gamepads and Controllers,1094.83,37.0,13.93
91,B1212:PZ:V,2019-07-19,1000 Inputs,1006 Gamepads and Controllers,1479.5,50.0,10.7
92,B1212:PZ:V,2019-07-20,1000 Inputs,1006 Gamepads and Controllers,2041.71,69.0,10.85
93,B1212:PZ:V,2019-07-21,1000 Inputs,1006 Gamepads and Controllers,1479.5,50.0,12.57
94,B1212:PZ:V,2019-07-22,1000 Inputs,1006 Gamepads and Controllers,1923.35,65.0,13.46
95,B1212:PZ:V,2019-07-23,1000 Inputs,1006 Gamepads and Controllers,1923.35,65.0,15.9
96,B1212:PZ:V,2019-07-24,1000 Inputs,1006 Gamepads and Controllers,1331.55,45.0,14.04
97,B1212:PZ:V,2019-07-25,1000 Inputs,1006 Gamepads and Controllers,2160.07,73.0,17.21
98,B1212:PZ:V,2019-07-26,1000 Inputs,1006 Gamepads and Controllers,1597.86,54.0,15.29
99,B1212:PZ:V,2019-07-27,1000 Inputs,1006 Gamepads and Controllers,1183.6,40.0,20.06
100,B1212:PZ:V,2019-07-28,1000 Inputs,1006 Gamepads and Controllers,1834.58,62.0,13.96
101,B1212:PZ:V,2019-07-29,1000 Inputs,1006 Gamepads and Controllers,1627.45,55.0,13.14
102,B1212:PZ:V,2019-07-30,1000 Inputs,1006 Gamepads and Controllers,1331.55,45.0,14.55
103,B1212:PZ:V,2019-07-31,1000 Inputs,1006 Gamepads and Controllers,1568.27,53.0,12.44
104,B1212:PZ:V,2019-08-01,1000 Inputs,1006 Gamepads and Controllers,1627.45,55.0,18.93
105,B1212:PZ:V,2019-08-02,1000 Inputs,1006 Gamepads and Controllers,2396.79,81.0,14.95
106,B1212:PZ:V,2019-08-03,1000 Inputs,1006 Gamepads and Controllers,1390.73,47.0,13.3
107,B1212:PZ:V,2019-08-04,1000 Inputs,1006 Gamepads and Controllers,1568.27,53.0,11.04
108,B1212:PZ:V,2019-08-05,1000 Inputs,1006 Gamepads and Controllers,1331.55,45.0,14.13
109,B1212:PZ:V,2019-08-06,1000 Inputs,1006 Gamepads and Controllers,2959.0,100.0,15.41
110,B1212:PZ:V,2019-08-07,1000 Inputs,1006 Gamepads and Controllers,1622.68,52.0,16.07
111,B1212:PZ:V,2019-08-08,1000 Inputs,1006 Gamepads and Controllers,1663.48,52.0,15.79
112,B1212:PZ:V,2019-08-09,1000 Inputs,1006 Gamepads and Controllers,1407.56,44.0,16.04
113,B1212:PZ:V,2019-08-10,1000 Inputs,1006 Gamepads and Controllers,1247.61,39.0,18.47
114,B1212:PZ:V,2019-08-11,1000 Inputs,1006 Gamepads and Controllers,1215.62,38.0,14.79
115,B1212:PZ:V,2019-08-12,1000 Inputs,1006 Gamepads and Controllers,1343.58,42.0,14.68
116,B1212:PZ:V,2019-08-13,1000 Inputs,1006 Gamepads and Controllers,1983.38,62.0,12.95
117,B1212:PZ:V,2019-08-14,1000 Inputs,1006 Gamepads and Controllers,991.69,31.0,12.31
118,B1212:PZ:V,2019-08-15,1000 Inputs,1006 Gamepads and Controllers,1599.5,50.0,12.85
119,B1212:PZ:V,2019-08-16,1000 Inputs,1006 Gamepads and Controllers,1471.54,46.0,13.47
120,B1212:PZ:V,2019-08-17,1000 Inputs,1006 Gamepads and Controllers,2079.35,65.0,10.55
